title,runtime(min),genre,award_wins,award_nominations,box_office(USD)
Parasite,132,"Drama, Thriller",308,271,53369749
Green Book,130,"Biography, Comedy, Drama",59,124,85080171
The Shape of Water,123,"Drama, Fantasy, Romance",139,358,63859435
Moonlight,111,Drama,230,301,27854932
Spotlight,129,"Biography, Crime, Drama",124,144,45055776
Birdman or (The Unexpected Virtue of Ignorance),119,"Comedy, Drama",193,293,42340598
12 Years a Slave,134,"Biography, Drama, History",242,337,56671993
Argo,120,"Biography, Drama, Thriller",95,156,136025503
The Artist,100,"Comedy, Drama, Romance",162,204,44671682
The King's Speech,118,"Biography, Drama, History",108,206,138797449
